the_geom,county,city_village_or_cdp,housing_type,complex_name,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,state,latitude,longitude,accuracy_score,accuracy_type,number,street,city,zip,country,source
0101000020E6100000B7F4C3639A2F52C0A99D06B1D87B4440,Suffolk,Baiting Hollow,COND,Vistas of Baiting Hollow,100 Fox Hill Dr.,21,8,PROP,2016,,,1996,New York,40.9675504,-72.7437982,1,street_address,100,Fox Hill Dr,Riverhead,,US,Google Script
0101000020E6100000EDF5EE8FF74052C05917B7D100624440,Suffolk,Patchogue,APT,Waverly Management LLC,~120 Waverly Ave.,21,0.9,PROP,2019,,,1946,New York,40.76565,-73.01511,1,place,,,Patchogue,11772,US,TIGER/Line® dataset from the US Census Bureau
0101000020E6100000FA43334FAE6452C08C4CC0AF91614440,Nassau,New Cassel,COND,Cornerstone Proerties,Rose Pl.,11,,PROP,2014,AFFORD,,1000,New York,40.7622585,-73.573139,1,route,,Rose Pl,North Hempstead,,US,Google Script
0101000020E61000008EEBDFF5996852C0325706D5066F4440,Nassau,Glen Cove,COND,Landing Cove,40 Hill St.,72,5.5,UC,2014,SRCIT,,22,New York,40.867396,-73.634397,1,rooftop,40,Hill St,Glen Cove,11542,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
0101000020E6100000C8618B38786952C019DC7B5D2B6A4440,Nassau,Glenwood Landng,COND,Glen Harbor Partners,Shore Rd.,60,5.2,PROP,2006,,,992,New York,40.8294484,-73.6479627,1,route,,Shore Rd,,,US,Google Script
0101000020E61000005FF0694E5E6D52C02C9ACE4E065D4440,Nassau,Floral Park,APT,Conversion of Masons hall,29 Tulip Ave.,18,,PROP,2018,,,969,New York,40.726755,-73.708881,1,range_interpolation,29,Tulip Ave,Floral Park,11001,US,TIGER/Line® dataset from the US Census Bureau
0101000020E61000003410CB660E6D52C00F2A711DE35C4440,Nassau,Floral Park,APT,Questus Capital,S. Tyson Av. & Mayflower,36,0.3,PROP,2016,,,970,New York,40.725681,-73.704004,1,intersection,,Mayflower Pl,Floral Park,11001,US,TIGER/Line® dataset from the US Census Bureau
0101000020E6100000D0D1AA96746852C04DF564FED15D4440,Nassau,Garden City,COND,Fairhaven Properties,101 County Seat Dr.,150,25,PROP,2004,,,972,New York,40.732971,-73.632116,1,rooftop,101,County Seat Dr,Garden City,11530,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
0101000020E61000006405BF0D310A52C0F06AB93313824440,Suffolk,Wheatley Heights,APT,Willoughby Commons,~5 Colonial Springs Rd.,264,16.1,PROP,2016,,,1929,New York,41.016211,-72.159244,0.8,place,,,Springs,11937,US,TIGER/Line® dataset from the US Census Bureau
0101000020E610000027BC04A73E6752C0F4FA93F8DC514440,Nassau,Baldwin,COOP,Golden Age,2870 Grand Ave.,25,1.3,UC,2015,SRCIT-AFFORD,,35,New York,40.639556,-73.613199,1,rooftop,2870,Grand Ave,Baldwin,11510,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
