the_geom,county,city_village_or_cdp,housing_type,complex_name,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,state,latitude,longitude,accuracy_score,accuracy_type,number,street,city,zip,country,source,fixedYear
0101000020E6100000B7F4C3639A2F52C0A99D06B1D87B4440,Suffolk,Baiting Hollow,COND,Vistas of Baiting Hollow,100 Fox Hill Dr.,21,8.0,PROP,2016,,,1996,New York,40.96755039999999,-72.74379820000001,1.0,street_address,100,Fox Hill Dr,Riverhead,,US,Google Script,2016.0
0101000020E6100000EDF5EE8FF74052C05917B7D100624440,Suffolk,Patchogue,APT,Waverly Management LLC,~120 Waverly Ave.,21,0.9,PROP,2019,,,1946,New York,40.76565,-73.01510999999999,1.0,place,,,Patchogue,11772.0,US,TIGER/Line® dataset from the US Census Bureau,2019.0
0101000020E6100000FA43334FAE6452C08C4CC0AF91614440,Nassau,New Cassel,COND,Cornerstone Proerties,Rose Pl.,11,,PROP,2014,AFFORD,,1000,New York,40.7622585,-73.573139,1.0,route,,Rose Pl,North Hempstead,,US,Google Script,2014.0
0101000020E61000008EEBDFF5996852C0325706D5066F4440,Nassau,Glen Cove,COND,Landing Cove,40 Hill St.,72,5.5,UC,2014,SRCIT,,22,New York,40.867396,-73.63439699999999,1.0,rooftop,40,Hill St,Glen Cove,11542.0,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2014.0
0101000020E6100000C8618B38786952C019DC7B5D2B6A4440,Nassau,Glenwood Landng,COND,Glen Harbor Partners,Shore Rd.,60,5.2,PROP,2006,,,992,New York,40.8294484,-73.6479627,1.0,route,,Shore Rd,,,US,Google Script,2006.0
0101000020E61000005FF0694E5E6D52C02C9ACE4E065D4440,Nassau,Floral Park,APT,Conversion of Masons hall,29 Tulip Ave.,18,,PROP,2018,,,969,New York,40.726755,-73.708881,1.0,range_interpolation,29,Tulip Ave,Floral Park,11001.0,US,TIGER/Line® dataset from the US Census Bureau,2018.0
0101000020E61000003410CB660E6D52C00F2A711DE35C4440,Nassau,Floral Park,APT,Questus Capital,S. Tyson Av. & Mayflower,36,0.3,PROP,2016,,,970,New York,40.725681,-73.704004,1.0,intersection,,Mayflower Pl,Floral Park,11001.0,US,TIGER/Line® dataset from the US Census Bureau,2016.0
0101000020E6100000D0D1AA96746852C04DF564FED15D4440,Nassau,Garden City,COND,Fairhaven Properties,101 County Seat Dr.,150,25.0,PROP,2004,,,972,New York,40.732971,-73.632116,1.0,rooftop,101,County Seat Dr,Garden City,11530.0,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2004.0
0101000020E61000006405BF0D310A52C0F06AB93313824440,Suffolk,Wheatley Heights,APT,Willoughby Commons,~5 Colonial Springs Rd.,264,16.1,PROP,2016,,,1929,New York,41.016211,-72.159244,0.8,place,,,Springs,11937.0,US,TIGER/Line® dataset from the US Census Bureau,2016.0
0101000020E610000027BC04A73E6752C0F4FA93F8DC514440,Nassau,Baldwin,COOP,Golden Age,2870 Grand Ave.,25,1.3,UC,2015,SRCIT-AFFORD,,35,New York,40.639556,-73.613199,1.0,rooftop,2870,Grand Ave,Baldwin,11510.0,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2015.0
0101000020E6100000A28F9EC7CD6952C0CFC6003F994C4440,Nassau,Barnum Island,COND,Island Park Yacht Club,100 Baker Ct.,128,,BUILT,1984,,,52,New York,40.598426700000005,-73.6531848,1.0,street_address,100,Baker Ct,Hempstead,,US,Google Script,1984.0
0101000020E6100000584634CB2F6D52C0034B64D5D6644440,Nassau,Manhasset,APT,Manhasset Square,Route 25A & Community Dr.,355,16.0,PROP,2019,,,997,New York,40.787806200000006,-73.70604209999999,1.0,intersection,,,North Hempstead,11030.0,US,Google Script,2019.0
0101000020E610000084769840DB3D52C08DC756E1E0784440,Suffolk,Mount Sinai,APT,Harbor Village at Mount Sinai,950 Route 25A & Wylde Rd.,225,17.8,UC,2019,SRCIT,,1298,New York,40.94436279999999,-72.9665071,1.0,street_address,950,NY-25A,Brookhaven,11787.0,US,Google Script,2019.0
0101000020E6100000F2EEC8586D6752C08D9AAF928F5D4440,Nassau,Garden City,APT,Southern Land Company,555 Stewart Ave.,150,4.6,PROP,2019,,,973,New York,40.730944,-73.616049,1.0,range_interpolation,555,Stewart Ave,Garden City,11530.0,US,TIGER/Line® dataset from the US Census Bureau,2019.0
0101000020E6100000CA935ADE0B6852C02607A2DDD7594440,Nassau,Hempstead,APT,Adams Court,"12, 24, 36 Grove St.",54,,BUILT,1981 E,,,236,New York,40.701900200000004,-73.62572440000001,1.0,subpremise,24,Grove St,Hempstead,11549.0,US,Google Script,1981.0
