Year,Mon,day,Origin-Time - hr - (UTC),Origin-Time - min - (UTC),Origin-Time - sec - (UTC),Latitude - ∞N,Longitude - ∞E,Depth - (Km),Magnitude - (Richter scale)
2017,1,3,18,49,51,23.4,94,10,5.4
2017,1,3,9,9,3,24.1,91.9,28,5.7
2017,1,4,13,40,32,24,92,15,3.4
2017,1,5,5,56,52,25.1,95,123,4.3
2017,1,6,15,3,52,24.1,91.9,55,3.9
2017,1,8,4,28,16,25.2,94.4,20,3.3
2017,1,10,15,27,41,30.3,79.4,5,3.2
2017,1,11,13,21,14,28.3,94.1,10,3.3
2017,1,12,9,32,7,26.5,95.4,75,4.7
2017,1,17,15,22,16,27.6,88.6,10,3.6
2017,1,18,3,3,17,24.5,94.8,22,4.2
2017,1,18,1,46,10,23.9,93,27,3.7
2017,1,23,9,33,5,30.8,78.2,10,3.5
2017,1,24,18,14,29,25.5,94.6,50,3.1
2017,1,24,12,25,38,25.6,91.7,15,3.4
2017,1,27,7,40,55,36.4,71.5,10,5.2
2017,1,29,9,9,4,24.8,92.8,10,3.2
2017,1,31,5,28,42,26.4,93.5,22,3.2
2017,2,3,13,35,48,30.5,79.2,10,3.6
2017,2,4,7,5,17,32.6,76.6,10,3.5
2017,2,5,12,54,59,27.9,93.8,10,3.8
2017,2,6,20,21,45,30.6,79,10,3.6
2017,2,6,17,3,8,30.5,79.1,33,5.8
2017,2,7,22,3,54,25.2,63.4,10,6.2
2017,2,8,8,14,28,26.9,92.9,15,3.6
2017,2,11,18,12,51,23.9,91.8,10,3.5
2017,2,11,17,21,13,30.5,79.1,5,3.2
2017,2,12,4,5,30,25.6,90.8,10,4.5
2017,2,16,15,13,10,26.2,92.8,20,3.6
2017,2,18,18,53,42,26.6,93,30,3.4
2017,2,23,21,39,16,27.3,88.1,150,3.5
2017,2,23,20,16,7,23.7,94.5,82,3.4
2017,2,24,21,0,44,28.7,96,36,3.2
2017,2,24,12,2,49,24.1,93.4,20,5.2
2017,2,25,7,2,19,24.1,92.1,33,4
2017,2,25,0,0,44,28.7,96,10,3.5
2017,2,27,4,21,45,27.3,85.9,10,4.7
2017,2,27,3,37,47,27.3,85.9,10,5
2017,3,1,20,9,31,32.3,76.6,10,3.8
2017,3,3,23,38,13,24.3,94.2,70,3.5
2017,3,4,6,50,44,5.5,90.9,10,3.3
2017,3,4,2,11,52,25.2,94.6,70,5
2017,3,6,2,44,16,35.7,74,50,4.8
2017,3,7,9,59,16,26.8,90.5,30,4.1
2017,3,9,8,39,56,32.5,76.6,5,3.5
2017,3,9,6,18,25,35.9,71.7,160,5
2017,3,9,2,55,15,25,94.2,36,4.1
2017,3,10,12,39,33,8.5,91.9,10,4.7
2017,3,13,10,22,17,24.6,72.1,10,4.5
2017,3,14,2,51,19,6.4,92.2,10,5.9
2017,3,14,0,18,1,32.7,75.6,10,3.6
2017,3,17,14,1,49,11.5,92.7,60,4.9
2017,3,19,8,57,9,9.9,94,10,4.7
2017,3,21,15,40,44,24.9,92.1,37,3.9
2017,3,25,2,5,55,25,95.1,82,5
2017,3,26,21,42,9,27.3,88.6,10,4.6
2017,3,28,10,18,49,26.5,93.5,10,3
2017,3,29,19,14,33,26.1,91.3,18,3.5
2017,3,30,3,40,23,26.5,93,24,3.5
2017,4,5,16,44,34,14.5,92.9,10,5
2017,4,7,10,32,58,30.4,79.1,10,4
2017,4,10,8,50,34,30.7,78.6,10,3.8
2017,4,10,5,24,31,27,95.6,10,3.2
2017,4,12,17,34,33,23.9,93.9,10,3.2
2017,4,13,19,44,1,24.6,93.3,10,3
2017,4,15,22,35,14,26,91,10,3.5
2017,4,16,23,9,53,30.5,79.1,10,3.5
2017,4,16,8,8,2,26.1,91.4,24,3.3
2017,4,18,14,1,32,25.1,91.5,10,4.3
2017,4,18,5,11,56,33.8,76.6,33,5
2017,4,18,2,11,24,31.6,77.9,5,3.8
2017,4,18,2,6,17,12.6,77.4,33,3.4
2017,4,23,1,39,24,31.6,77.9,5,3.8
2017,4,24,10,53,46,23.4,94.1,70,4.3
2017,4,25,16,14,53,25.6,90.6,10,4.3
2017,4,29,23,23,57,24.1,93.5,55,3.4
2017,5,1,6,50,57,13.8,93.1,10,4.7
2017,5,2,17,47,33,27.6,96.3,10,3.3
2017,5,2,17,43,50,27.5,96.2,10,3.4
2017,5,2,9,51,40,32.9,75.5,19,3.6
2017,5,3,0,12,33,24.7,94.5,10,3.4
2017,5,5,17,58,35,13.9,92.7,10,5
2017,5,6,17,57,11,36.4,75.3,10,4.2
2017,5,6,14,48,50,23.8,93.8,65,4.7
2017,5,9,3,26,54,26.6,93.2,28,3.4
2017,5,9,1,53,55,26.3,92.7,25,3.7
2017,5,16,22,13,19,27.3,88.2,10,4
2017,5,16,14,4,41,11.4,94.8,10,4.4
2017,5,17,17,45,50,13,93.9,10,5
2017,5,18,8,43,42,24.9,94.5,75,4
2017,5,19,0,2,29,32.8,76.3,5,4.5
2017,5,20,5,48,43,32.8,76.2,5,4.1
2017,5,20,3,41,46,32.8,76.2,10,3.6
2017,5,21,21,23,47,28.1,95.1,30,3.3
2017,5,21,17,38,36,13.6,94,10,4.6
2017,5,21,4,27,7,32.5,76.8,10,3.5
2017,5,22,19,41,43,33.9,75.8,5,3.3
2017,5,24,13,54,54,23.9,94.3,95,3.7
2017,5,26,14,17,49,24.4,94,70,3.8
2017,5,29,15,19,25,33.4,73.9,10,3.5
2017,5,29,14,43,17,26.7,88.8,30,3.7
2017,5,29,13,53,27,32.9,75.5,10,4.4
2017,5,30,22,25,8,12.2,92.6,107,4.6
2017,6,1,22,55,56,28.8,76.7,22,5
2017,6,1,12,13,47,25.5,93.9,10,3.2
2017,6,2,2,43,15,28.8,76.7,22,3.2
2017,6,3,18,14,52,17.1,73.8,10,4.8
2017,6,3,2,42,59,17.1,73.8,10,4.8
2017,6,5,16,40,7,24,92.1,96,3
2017,6,8,22,19,21,32.7,74.7,10,3.2
2017,6,9,17,38,23,27.8,95.7,91,3.2
2017,6,12,9,11,21,30.7,78.4,10,3
2017,6,14,17,56,17,32.9,76.5,5,3.1
2017,6,15,1,14,29,24.1,93.4,10,3
2017,6,16,5,14,18,27,94.4,31,3.1
2017,6,16,5,14,18,27,94.4,31,3.1
2017,6,18,22,35,44,24.7,93.9,10,4.4
2017,6,20,4,31,58,27.1,92.5,10,3.5
2017,6,21,20,51,17,17,73.7,10,3.3
2017,6,21,18,36,11,25.7,87.1,50,4.5
2017,6,24,20,17,1,24.4,94.2,82,3.5
2017,6,27,15,16,54,24.2,93.6,10,3
2017,6,27,14,2,55,25.1,93.9,10,3
2017,7,1,7,1,15,23.8,94.4,81,5
2017,7,2,5,27,44,24.3,94.4,80,4.9
2017,7,2,4,44,49,26.5,90,10,3.1
2017,7,2,1,58,28,27.4,86.5,10,4.9
2017,7,4,10,5,47,27,92.1,10,3.5
2017,7,5,9,37,23,25.9,90.3,10,3.3
2017,7,8,18,8,37,27.5,92.5,15,3.2
2017,7,8,11,21,1,27.3,88.5,10,3
2017,7,8,10,12,31,34.6,73.5,10,5.2
2017,7,9,7,59,49,29.2,95.5,10,4.8
2017,7,10,23,28,30,27.1,93.8,10,3.1
2017,7,10,21,38,59,30.4,79.2,70,3.8
2017,7,13,5,3,33,23.6,94.2,90,4.8
2017,7,15,16,35,31,28.8,81.5,81,4.5
2017,7,15,2,25,35,30.6,77.7,10,3.3
2017,7,17,20,20,26,24.9,95,113,4
2017,7,17,13,24,41,24.3,91.7,10,3.5
2017,7,17,9,47,26,26.8,89.2,10,3.4
2017,7,18,23,11,55,25,94.2,10,3.2
2017,7,18,17,5,17,24.7,94.1,10,3.4
2017,7,19,13,48,14,33.1,76.4,5,3.4
2017,7,21,0,23,38,24,92.1,20,3.9
2017,7,22,20,6,48,25.2,94.5,80,3.6
2017,7,23,21,43,45,26.9,95.8,108,3.5
2017,7,25,18,28,0,26.3,93.1,28,3.2
2017,7,29,22,1,25,24.1,93.6,30,3.3
2017,7,31,0,57,22,26.9,92.3,10,4
2017,8,2,18,18,8,24.4,93.4,65,5.4
2017,8,5,12,24,56,26.8,92.2,10,3.3
2017,8,6,3,48,32,6.3,94.9,10,4.9
2017,8,7,11,25,7,26.3,91.7,10,3.4
2017,8,8,0,35,37,24.4,93.5,35,4.3
2017,8,11,3,34,53,13.8,92.9,10,5
2017,8,11,2,39,50,27.3,96.6,60,4.1
2017,8,16,6,35,23,19.5,77.2,10,3
2017,8,16,3,26,48,32.7,76.3,10,4.1
2017,8,16,3,23,14,32.7,76.4,10,3.5
2017,8,17,7,38,32,25.9,94.4,24,4.4
2017,8,17,3,52,32,26.6,95.4,60,3.8
2017,8,19,16,52,32,17.3,73.7,10,4.5
2017,8,22,15,22,7,30.5,79.9,10,4.2
2017,8,22,0,50,39,29.2,81.1,10,4.5
2017,8,23,20,58,35,36,74.3,90,5
2017,8,27,8,5,9,17.1,73.9,5,3.3
2017,8,27,4,5,58,24.9,94.1,30,3.2
2017,8,31,17,57,26,26.6,92.7,10,3.4
2017,9,1,3,11,31,26,94.5,13,3
2017,9,2,21,4,23,24.9,93.9,26,3.4
2017,9,3,6,52,11,9.2,93,10,5
2017,9,5,18,6,36,8.2,93.4,10,4.7
2017,9,6,0,10,52,10,93.6,10,5.2
2017,9,7,14,32,0,25.2,90,10,4.4
2017,9,7,11,10,19,36.9,71.7,65,5
2017,9,9,14,18,59,27.9,96.3,10,3.2
2017,9,11,16,44,50,11,94.1,10,4.3
2017,9,14,3,40,34,24.4,93.9,40,3.2
2017,9,15,22,37,44,12.2,93.1,10,4.5
2017,9,17,14,48,23,13.6,91.8,10,4.4
2017,9,20,16,37,24,38,144.6,10,6.2
2017,9,21,22,35,56,24.3,93.6,38,3.1
2017,9,21,16,34,36,25,94.6,74,4
2017,9,23,0,14,13,34,74.7,150,4.5
2017,9,24,11,6,50,32.8,76.2,5,3.6
2017,9,24,8,37,14,24.7,94.4,75,3
2017,9,25,10,42,38,24.4,94.1,10,3.3
2017,9,27,12,18,21,26.5,92.8,31,3
2017,9,28,23,27,19,23.7,92.9,17,3.3
2017,10,1,14,35,32,13,92,10,4.5
2017,10,1,12,49,1,13,92,10,4.7
2017,10,1,12,18,17,28.6,96.1,147,4.5
2017,10,2,23,31,38,12.9,91.9,10,4.5
2017,10,2,11,2,29,32.5,76.7,5,3.1
2017,10,3,13,48,34,25.1,94.5,66,4.2
2017,10,4,21,29,8,26.8,89.3,10,3.7
2017,10,5,10,25,38,26.8,95.5,66,3.9
2017,10,6,14,0,29,12.3,95.2,10,4.9
2017,10,6,4,36,44,27.8,96,10,4.2
2017,10,6,2,10,20,27.7,96,10,3.7
2017,10,9,19,32,39,12.6,91.9,10,4.3
2017,10,11,6,2,52,19.8,84.1,10,3.2
2017,10,19,1,10,22,33.5,76.1,10,4.7
2017,10,19,0,54,20,33.6,75.3,10,3.3
2017,10,23,14,23,36,6.3,92.9,30,4.5
2017,10,25,18,20,49,14.1,92.7,10,4.7
2017,10,27,8,54,20,32.5,76.4,10,3.7
2017,10,27,2,37,43,31.3,77.2,10,4.4
2017,10,28,17,45,24,36.2,70.5,100,5.7
2017,10,28,16,53,50,28.4,76.2,5,3.5
2017,10,31,6,53,7,18.1,76.6,10,3
2017,11,6,3,8,44,29.3,83.1,10,4.7
2017,11,7,19,45,39,26.5,92.6,31,3.6
2017,11,8,21,22,28,29.9,77.7,10,3.5
2017,11,8,4,50,52,24.1,91.2,33,4.8
2017,11,9,23,49,12,17.6,73.6,10,3.8
2017,11,12,19,32,10,27.1,92.7,5,3.2
2017,11,12,5,15,43,29.1,79.2,27,3.6
2017,11,13,9,42,2,36,70,82,5.4
2017,11,14,18,5,53,24.7,94.3,102,3
2017,11,17,22,34,14,30.1,95.1,10,6.4
2017,11,18,13,2,11,29.9,80.2,20,3.3
2017,11,18,9,51,19,26.4,73.8,10,4.2
2017,11,20,8,48,0,23.7,94.5,82,5
2017,11,22,22,31,11,24.6,93.8,21,3.1
2017,11,30,11,45,11,30.4,76,10,3.8
2017,12,2,23,43,44,27.4,88.3,3,3.8
2017,12,2,20,25,6,25.2,93.3,10,3.1
2017,12,5,14,58,33,22.7,86.1,39,3
2017,12,6,23,29,7,35.5,77.6,35,5.4
2017,12,6,19,39,31,17.6,73.3,15,3.2
2017,12,6,15,19,54,30.4,79.1,30,5.5
2017,12,8,17,55,52,25.6,91.6,10,3
2017,12,8,2,51,13,27.8,85.5,10,5
2017,12,9,10,43,7,33.3,76.8,10,4.7
2017,12,10,22,58,54,34.3,78.8,33,4.5
